Human milk	"Milk, human, mature, fluid"
"Yogurt, Greek"	"Yogurt, Greek, strawberry, nonfat"
"Yogurt, regular"	"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
"Yogurt, regular"	"Sugars, granulated"
"Yogurt, regular"	Vitamin D as ingredient
"Yogurt, regular"	"Yogurt, plain, whole milk, 8 grams protein per 8 ounce"
"Yogurt, regular"	"Sugars, granulated"
"Yogurt, regular"	Vitamin D as ingredient
"Yogurt, regular"	"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
"Yogurt, regular"	"Sugars, granulated"
"Yogurt, regular"	Vitamin D as ingredient
"Yogurt, regular"	"Yogurt, plain, skim milk, 13 grams protein per 8 ounce"
"Yogurt, regular"	"Sugars, granulated"
"Yogurt, regular"	Vitamin D as ingredient
"Yogurt, Greek"	"Yogurt, Greek, vanilla, lowfat"
"Yogurt, Greek"	"Yogurt, Greek, vanilla, lowfat"
"Yogurt, Greek"	"Butter oil, anhydrous"
"Yogurt, Greek"	"Yogurt, Greek, vanilla, lowfat"
"Yogurt, Greek"	"Yogurt, Greek, vanilla, nonfat"
"Yogurt, Greek"	"Yogurt, Greek, vanilla, lowfat"
"Yogurt, Greek"	"Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola without Raisins"
"Yogurt, regular"	"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
"Yogurt, regular"	"Water, tap, drinking"
"Yogurt, regular"	Jams and preserves
"Yogurt, regular"	Vitamin D as ingredient
"Dips, gravies, other sauces"	"Salad dressing, mayonnaise, regular"
"Dips, gravies, other sauces"	"Yogurt, Greek, plain, lowfat"
"Dips, gravies, other sauces"	"Salt, table"
"Dips, gravies, other sauces"	"Peppers, hot chili, red, raw"
"Dips, gravies, other sauces"	"Salad dressing, mayonnaise, regular"
"Dips, gravies, other sauces"	"Yogurt, Greek, plain, lowfat"
"Dips, gravies, other sauces"	"Salt, table"
"Dips, gravies, other sauces"	"Onions, frozen, chopped, cooked, boiled, drained, without salt"
"Dips, gravies, other sauces"	"Spices, parsley, dried"
"Dips, gravies, other sauces"	"Salad dressing, mayonnaise, regular"
"Dips, gravies, other sauces"	"Yogurt, Greek, plain, lowfat"
"Dips, gravies, other sauces"	"Salt, table"
"Dips, gravies, other sauces"	"Onions, frozen, chopped, cooked, boiled, drained, without salt"
"Dips, gravies, other sauces"	"Milk, NFS"
"Dips, gravies, other sauces"	"Salad dressing, mayonnaise, regular"
"Dips, gravies, other sauces"	"Yogurt, Greek, plain, lowfat"
"Dips, gravies, other sauces"	"Salt, table"
"Dips, gravies, other sauces"	"Milk, buttermilk, dried"
"Dips, gravies, other sauces"	"Spices, parsley, dried"
"Dips, gravies, other sauces"	"Salad dressing, mayonnaise, regular"
"Dips, gravies, other sauces"	"Yogurt, Greek, plain, lowfat"
"Dips, gravies, other sauces"	"Salt, table"
"Dips, gravies, other sauces"	"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt"
"Dips, gravies, other sauces"	"Milk, NFS"
"Dips, gravies, other sauces"	"Yogurt, Greek, plain, whole milk"
"Dips, gravies, other sauces"	"Cucumber, with peel, raw"
"Dips, gravies, other sauces"	"Oil, olive, salad or cooking"
"Dips, gravies, other sauces"	"Lemon juice, raw"
"Dips, gravies, other sauces"	"Salt, table"
"Dips, gravies, other sauces"	"Garlic, raw"
"Dips, gravies, other sauces"	"Salad dressing, mayonnaise, regular"
"Dips, gravies, other sauces"	"Yogurt, Greek, plain, lowfat"
"Dips, gravies, other sauces"	"Salt, table"
"Dips, gravies, other sauces"	"Onions, frozen, chopped, cooked, boiled, drained, without salt"
"Dips, gravies, other sauces"	"Spices, parsley, dried"
"Yogurt, regular"	"Yogurt parfait, lowfat, with fruit and granola"
"Yogurt, regular"	Vitamin D as ingredient
Ice cream and frozen dairy desserts	"Yogurt, frozen, flavors other than chocolate, lowfat milk"
Ice cream and frozen dairy desserts	"Frozen yogurts, flavors other than chocolate"
Ice cream and frozen dairy desserts	"Frozen yogurts, chocolate"
Ice cream and frozen dairy desserts	"Yogurt, frozen, flavors other than chocolate, lowfat milk"
Ice cream and frozen dairy desserts	"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
Ice cream and frozen dairy desserts	"Sugars, granulated"
Ice cream and frozen dairy desserts	"Cocoa, dry powder, unsweetened, processed with alkali"
Ice cream and frozen dairy desserts	"Yogurt, frozen, flavors other than chocolate, lowfat"
Ice cream and frozen dairy desserts	"Yogurt, plain, skim milk, 13 grams protein per 8 ounce"
Ice cream and frozen dairy desserts	"Sugars, granulated"
Ice cream and frozen dairy desserts	"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar"
Ice cream and frozen dairy desserts	"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar"
Ice cream and frozen dairy desserts	"Ice creams, vanilla, light"
Ice cream and frozen dairy desserts	"Frozen novelties, fruit and juice bars"
Ice cream and frozen dairy desserts	"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener"
Ice cream and frozen dairy desserts	"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar"
Ice cream and frozen dairy desserts	"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener"
Ice cream and frozen dairy desserts	"Frozen yogurts, flavors other than chocolate"
Ice cream and frozen dairy desserts	"Frozen yogurts, chocolate"
Ice cream and frozen dairy desserts	"Frozen yogurts, flavors other than chocolate"
Ice cream and frozen dairy desserts	"Frozen yogurts, vanilla, soft-serve"
Ice cream and frozen dairy desserts	"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings"
